OBJECTID,id,airport_ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,description,frequency_mhz,runway_length_ft,runway_width_ft,runway_surface,runway_lighted,runway_closed,x,y
29354,30836,HCMO,small_airport,Hobyo Airport,5.358003,48.515281,65.0,AF,SO,SO-GA,Hobyo,no,HCMO,CMO,,,,Obbia,,,,,,,,5400696.3766,597321.398800001
29355,31536,HCMR,small_airport,Galcaio Airport,6.78082990646,47.45470047,975.0,AF,SO,SO-MU,Galcaio,yes,HCMR,GLK,,,https://en.wikipedia.org/wiki/Galkacyo_Airport,Galkacyo Airport,,,,,,,,5282633.0921,756606.797800001
29356,30837,HCMS,small_airport,Iskushuban Airport,10.3,50.233002,1121.0,AF,SO,SO-BR,Iskushuban,no,HCMS,CMS,,,,Scusciuban,,,,,,,,5591912.2037,1152816.8258
29357,31018,HCMU,small_airport,Erigavo Airport,10.642050549,47.3879814148,5720.0,AF,SO,SO-SA,Erigavo,no,HCMU,ERA,,,https://en.wikipedia.org/wiki/Ceerigaabo_Airport,,,,,,,,,5275205.9608,1191538.6154
29358,30802,HCMV,small_airport,Burao Airport,9.5275,45.5549,3400.0,AF,SO,SO-TO,Burao,no,HCMV,BUO,,,https://en.wikipedia.org/wiki/Burao_Airport,,,,,,,,,5071148.2711,1065518.2895
29360,39580,HDAS,small_airport,Ali-Sabieh Airport,11.146889,42.72,2313.0,AF,DJ,DJ-AS,Ali-Sabieh,no,HDAS,AII,,,https://en.wikipedia.org/wiki/Ali-Sabieh_Airport,,,,,,,,,4755568.6467,1248768.6288
29362,39584,HDMO,small_airport,Moucha Airport,11.72975,43.209559,,AF,DJ,DJ-DJ,Moucha Island,no,HDMO,MHI,,,https://en.wikipedia.org/wiki/Moucha_Airport,,,,,,,,,4810066.1053,1314967.513
29363,32082,HDOB,small_airport,Obock Airport,11.9670000076294,43.2669982910156,69.0,AF,DJ,DJ-OB,Obock,no,HDOB,OBC,,,https://en.wikipedia.org/wiki/Obock_Airport,,,,,,,,,4816460.2179,1341953.0266
29364,32430,HDTJ,small_airport,Tadjoura Airport,11.787037,42.917376,246.0,AF,DJ,DJ-TA,Tadjoura,no,HDTJ,TDJ,,,https://en.wikipedia.org/wiki/Tadjoura_Airport,,,,,,,,,4777540.4425,1321481.362
29373,32435,HHTS,small_airport,Tessenei Airport,15.104322,36.681711,2018.0,AF,ER,ER-GB,Tessenei,no,HHTS,TES,,,,,,,,,,,,4083389.3899,1701225.8167
29383,28145,HIL,small_airport,Shilavo Airport,6.077545,44.763736,1296.0,AF,ET,ET-SO,Shilavo,yes,HASL,HIL,,,https://en.wikipedia.org/wiki/Shilavo_Airport,"Shillavo, Shilabo, Scilave, ሺላቮ",,,,,,,,4983076.2975,677821.495999999
29486,313211,HKB,small_airport,Healy Lake Airport,63.9958,-144.6926,1180.0,,US,US-AK,Healy Lake,yes,,HKB,,,https://en.wikipedia.org/wiki/Healy_Lake_Airport,,,,,,,,,-16107106.5536,9348697.7109
29492,28480,HKES,small_airport,Eliye Springs Airport,3.23635,35.97664,1395.0,AF,KE,KE-700,Eliye Springs,no,HKES,EYS,,,,Ille Springs,,,,,,,,4004901.2453,360460.563000001
29494,31758,HKFG,small_airport,Kalokol Airport,3.49161,35.836777,1245.0,AF,KE,KE-700,Kalokol,no,HKFG,KLK,,,https://en.wikipedia.org/wiki/Kalokol_Airport,"FER, Ferguson's Gulf",,,,,,,,3989331.7673,388925.046599999
29497,31611,HKHO,small_airport,Hola Airport,-1.52199995517731,40.0040016174316,195.0,AF,KE,KE-300,Hola,no,HKHO,HOA,,,,,,,,,,,,4453225.0897,-169448.189399999
29500,31587,HKKE,small_airport,Keekorok Airport,-1.586345,35.257455,5800.0,AF,KE,KE-700,Keekorok,no,HKKE,KEU,,,https://en.wikipedia.org/wiki/Keekorok_Airport,,,,,,,,,3924841.9373,-176613.683400001
29501,31673,HKKL,small_airport,Kilaguni Airport,-2.91060996055603,38.0652008056641,2750.0,AF,KE,KE-300,Kilaguni,no,HKKL,ILU,,,,,,,,,,,,4237398.7707,-324147.065099999
29502,31743,HKKR,small_airport,Kericho Airport,-0.3899,35.242093,6446.0,AF,KE,KE-700,Kericho,no,HKKR,KEY,,,https://en.wikipedia.org/wiki/Kericho_Airport,,,,,,,,,3923131.8472,-43403.8044999987
29506,31842,HKLY,small_airport,Loyengalani Airport,2.75,36.7169990539551,1195.0,AF,KE,KE-400,Loyengalani,no,HKLY,LOY,,,,,,,,,,,,4087317.6381,306246.203899998
29507,32198,HKMB,small_airport,Marsabit Airport,2.344254,37.999996,4395.0,AF,KE,KE-400,Marsabit,no,HKMB,RBT,,,https://en.wikipedia.org/wiki/Marsabit_Airport,6122,,,,,,,,4230140.2049,261034.001699999
29510,42703,HKMK,small_airport,Mulika Lodge Airport,0.165083,38.195141,2000.0,AF,KE,KE-400,Meru-Kinna,yes,HKMK,JJM,,,https://en.wikipedia.org/wiki/Mulika_Lodge_Airport,Meru National Park,,,,,,,,4251863.6469,18376.9809000008
29515,32065,HKNI,small_airport,Nyeri Airport,-0.364414006471634,36.9784851074219,5830.0,AF,KE,KE-200,Nyeri,no,HKNI,NYE,,,,,,,,,,,,4116426.1324,-40566.6550999992
29517,32066,HKNY,medium_airport,Nanyuki Airport,-0.062399,37.041008,6250.0,AF,KE,KE-200,Nanyuki,yes,HKNL,NYK,,,https://en.wikipedia.org/wiki/Nanyuki_Airport,,,,,,,,,4123386.149,-6946.22630000114
29524,323222,HLZN,small_airport,Alzintan Airport,31.774878,12.25006,2080.0,AF,LY,LY-JG,Zintan,no,HLZN,ZIS,,,https://en.wikipedia.org/wiki/Alzintan_Airport,,,,,,,,,1363670.4414,3733796.0076
29535,42029,HN-MUG,small_airport,Erandique Airport,14.235833,-88.437225,4199.0,,HN,HN-LE,Erandique,no,MHGU,EDQ,,,https://en.wikipedia.org/wiki/Erandique_Airport,Gualguire Airport,,,,,,,,-9844786.8542,1601287.0208
29537,313231,HOO,small_airport,Nhon Co Airfield,11.9787,107.5638,2270.0,AS,VN,VN-CH,Đăk R'Lấp,no,,HOO,,,,,,,,,,,,11973947.4438,1343284.4271
29561,313249,HRC,small_airport,Sary Su Airport,48.3974,70.1915,1307.0,AS,KZ,KZ-ULY,Zhayrem,no,,HRC,,,,"Zhairem, Жайрем",,,,,,,,7813682.038,6173224.5251
29571,30932,HSGG,small_airport,Galegu Airport,12.5329999923706,35.0670013427734,1640.0,AF,SD,SD-25,Dinder,no,HSGG,DNX,,,https://en.wikipedia.org/wiki/Galegu_Airport,,,,,,,,,3903640.7331,1406428.1646
29573,308038,HSHG,small_airport,Heglig Airport,9.994933,29.397718,1325.0,AF,SD,SD-13,Heglig Oilfield,no,HSHG,HEG,,,,,,,,,,,,3272538.9982,1118317.222
29574,319812,HSJ,small_airport,Zhengzhou Shangjie Airport,34.842153,113.273983,450.0,AS,CN,CN-41,Zhengzhou,no,,HSJ,,,,,,,,,,,,12609602.1077,4142451.0033
29575,31518,HSKG,small_airport,Khashm El Girba Airport,14.9250001907349,35.8779983520508,1560.0,AF,SD,SD-06,Khashm El Girba,no,HSKG,GBU,,,,,,,,,,,,3993920.5072,1680558.1933
29582,32054,HSNH,small_airport,En Nahud Airport,12.6669998168945,28.3330001831055,1955.0,AF,SD,SD-09,En Nahud,no,HSNH,NUD,,,https://en.wikipedia.org/wiki/En_Nahud_Airport,,,,,,,,,3154015.153,1421713.0706
29584,32027,HSNW,small_airport,New Halfa Airport,15.3556,35.727798,1480.0,AF,SD,SD-05,New Halfa,no,HSNW,NHF,,,https://en.wikipedia.org/wiki/New_Halfa_Airport,,,,,,,,,3977200.2805,1730216.1432
29597,31636,HSZA,small_airport,Zalingei Airport,12.9437,23.5631,2953.0,AF,SD,SD-12,Zalingei,no,HSZA,ZLX,,,https://en.wikipedia.org/wiki/Zalingei_Airport,Zalengei Airport,,,,,,,,2623032.2935,1453300.8576
29625,31801,HTLI,small_airport,Lindi Airport,-9.851005,39.75911,100.0,AF,TZ,TZ-12,Lindi,yes,HTLI,LDI,,,https://en.wikipedia.org/wiki/Lindi_Airport,Kikwetu Airport,,,,,,,,4425963.8796,-1102051.9019
29627,308210,HTM,small_airport,Khatgal Airport,50.435988,100.139532,5500.0,AS,MN,MN-041,Hatgal,no,ZMHG,HTM,,,https://en.wikipedia.org/wiki/Khatgal_Airport,,,,,,,,,11147481.7105,6522126.4662
29628,31979,HTMD,small_airport,Mwadui Airport,-3.521332,33.615542,3970.0,AF,TZ,TZ-22,Mwadui,no,HTMD,MWN,,,,,,,,,,,,3742065.0182,-392239.890299998
29631,32707,HTMI,small_airport,Masasi Airport,-10.7329998016357,38.7669982910156,1700.0,AF,TZ,TZ-17,Masasi,no,HTMI,XMI,,,,,,,,,,,,4315522.5093,-1201841.7678
29635,31642,HTMP,small_airport,Mpanda Airport,-6.355374,31.084116,3520.0,AF,TZ,TZ-20,Mpanda,no,HTMP,NPY,,,https://en.wikipedia.org/wiki/Mpanda_Airport,,,,,,,,,3460267.9649,-708932.244199999
29636,32194,HTMS,small_airport,Moshi Airport,-3.36332988739014,37.3269004821777,2801.0,AF,TZ,TZ-09,Moshi,no,HTMS,QSI,,,,,,,,,,,,4155211.5545,-374619.377900001
29638,32009,HTNA,small_airport,Nachingwea Airport,-10.3575000762939,38.7792015075684,1400.0,AF,TZ,TZ-12,Nachingwea,no,HTNA,NCH,,,,,,,,,,,,4316880.9652,-1159323.1388
29640,31708,HTNJ,small_airport,Njombe Airport,-9.35000038146973,34.7999992370605,6400.0,AF,TZ,TZ-04,Njombe,no,HTNJ,JOM,,,,,,,,,,,,3873918.1947,-1045487.9325
29646,32293,HTSO,small_airport,Songea Airport,-10.6829996109009,35.5830001831055,3445.0,AF,TZ,TZ-21,Songea,no,HTSO,SGX,,,,,,,,,,,,3961081.4613,-1196177.1328
29647,32297,HTSY,small_airport,Shinyanga Airport,-3.6093,33.5035,3800.0,AF,TZ,TZ-22,Shinyanga,yes,HTSY,SHY,,,https://en.wikipedia.org/wiki/Shinyanga_Airport,,,,,,,,,3729592.5598,-402051.433899999
29648,32426,HTTB,small_airport,Tabora Airport,-5.0763897895813,32.8333015441895,3868.0,AF,TZ,TZ-24,Tabora,yes,HTTB,TBO,,,,,,,,,,,,3654986.4089,-565841.912900001
29715,32234,HUAR,medium_airport,Arua Airport,3.049152,30.911714,3951.0,AF,UG,UG-N,Arua,yes,HUAR,RUA,,,https://en.wikipedia.org/wiki/Arua_Airport,,,,,,,,,3441076.262,339590.379799999
29718,31702,HUJI,small_airport,Jinja Airport,0.453094,33.19356,3855.0,AF,UG,UG-E,Jinja,no,HUJI,JIN,,,https://en.wikipedia.org/wiki/Jinja_Airport,,,,,,,,,3695090.1968,50438.7190999985
29726,31733,HUMI,small_airport,Masindi Airport,1.75805997848511,31.7367000579834,3850.0,AF,UG,UG-W,Masindi,no,HUMI,KCU,,,,,,,,,,,,3532913.2899,195737.058499999
29729,32476,HUTO,small_airport,Tororo Airport,0.683000028133392,34.1669998168945,3840.0,AF,UG,UG-E,Tororo,no,HUTO,TRY,,,,,,,,,,,,3803453.0216,76033.0161000006
29731,351149,HZU,medium_airport,Chengdu Huaizhou Airport,30.677339,104.529397,1453.0,AS,CN,CN-51,Chengdu (Jintang),no,,HZU,,,,,,,,,,,,11636159.247,3590915.986
29745,312933,IBI,small_airport,Iboki Airport,-5.5536,149.19,13.0,OC,PG,PG-WBK,Iboki,no,,IBI,IBK,,,Iaboki,,,,,,,,16607754.8314,-619194.255600002
29746,27302,IBL,medium_airport,Indigo Bay Lodge Airport,-21.708,35.452801,20.0,AF,MZ,MZ-I,Bazaruto Island,no,,IBL,,,https://en.wikipedia.org/wiki/Indigo_Bay_Lodge_Airport,,,,,,,,,3946587.7545,-2476503.0414
29747,309145,ICO,small_airport,Sicogon Airstrip,11.4595,123.2506,25.0,AS,PH,PH-ILI,Carles,no,,ICO,,,,,,,,,,,,13720194.032,1284256.7091
29786,311868,ID-0169,small_airport,Bawean - Harun Thohir Airport,-5.723628,112.678889,93.0,AS,ID,ID-JI,Bawean,yes,WARW,BXW,,,https://en.wikipedia.org/wiki/Bawean_Airport,Harun Thohir Airport,,,,,,,,12543356.5466,-638213.7205
29822,352224,ID-0214,small_airport,Blangkejeren Airport,3.94548,97.35968,,AS,ID,ID-AC,Kabupaten Gayo Lues,no,,GYO,,,,,,,,,,,,10838030.0014,439556.352299999
29876,505052,ID-0274,medium_airport,Sangia Nibandera Airport,-4.338158,121.524047,40.0,AS,ID,ID-SG,Kolaka,yes,WAWP,KXB,,,https://en.wikipedia.org/wiki/Sangia_Nibandera_Airport,"Kolaka, Sangia Nibandera, Southeast Sulawesi",,,,,,,,13527995.0312,-483383.616
29882,41363,ID-AKQ,small_airport,Gunung Batin Airport,-4.61113977432251,105.232002258301,99.0,AS,ID,ID-LA,Astraksetra-Sumatra Island,no,,AKQ,,,,,,,,,,,,11714372.9065,-513864.745099999
29883,41366,ID-BJG,small_airport,Boalang Airport,-0.972895979881287,122.144996643066,146.0,AS,ID,ID-ST,Boalang-Celebes Island,no,,BJG,,,,,,,,,,,,13597118.8292,-108307.4899
29884,31515,ID-GAV,small_airport,Gag Island Airport,-0.400555998086929,129.895004272461,1.0,AS,ID,ID-PB,Gag Island,no,,GAV,,,,,,,,,,,,14459845.7321,-44590.0529999994
29887,41378,ID-KOD,small_airport,Kotabangun Airport,-0.266669988632,116.583335876,13.0,AS,ID,ID-KI,Kotabangun-Borneo Island,no,,KOD,,,,,,,,,,,,12977997.5847,-29685.6746000014
29888,41379,ID-KRC,small_airport,Departi Parbo Airport,-2.093,101.4683,2600.0,AS,ID,ID-JA,Sungai Penuh,yes,WIPH,KRC,,,https://en.wikipedia.org/wiki/Depati_Parbo_Airport,Kerinci,,,,,,,,11295399.4877,-233043.5297
29889,41383,ID-LYK,small_airport,Lunyuk Airport,-8.9889,117.2158,44.0,AS,ID,ID-NB,Lunyuk-Simbawa Island,no,WADU,LYK,,,http://id.wikipedia.org/wiki/Bandar_Udara_Lunyuk,WRRU,,,,,,,,13048403.1689,-1004770.0331
29891,41386,ID-MSI,small_airport,Masalembo Airport,-5.58333015441895,114.432998657227,30.0,AS,ID,ID-JI,Masalembo Island,no,,MSI,,,,,,,,,,,,12738623.1404,-622519.4932
29892,41388,ID-NAF,small_airport,Banaina Airport,2.72305011749,117.125999451,60.0,AS,ID,ID-KU,Banaina-Borneo Island,no,,NAF,,,,,,,,,,,,13038406.6175,303242.731600001
29894,41397,ID-RKI,small_airport,Rokot Airport,-0.949999988079071,100.75,4975.0,AS,ID,ID-SB,Rokot-Sumatra Island,no,,RKI,,,,,,,,,,,,11215438.6974,-105758.360800002
30003,311990,IMG,small_airport,Inhaminga Airport,-18.41,35.0045,1072.0,AF,MZ,MZ-S,Inhaminga,no,,IMG,,,,,,,,,,,,3896683.1155,-2085594.6102
30012,301040,IN-0070,small_airport,Jindal Vijaynagar Airport,15.175921,76.63303,1670.0,AS,IN,IN-KA,Toranagallu,no,VOJV,VDY,,,https://en.wikipedia.org/wiki/Jindal_Vijaynagar_Airport,"JSW, Vidyanagar, Vijayanagar",Vijayanagar VN,0.217,5049.0,100.0,Bitumen,1.0,0.0,8530749.8775,1709482.781
30115,312234,IN-0090,small_airport,Deoghar Airport,24.446842,86.704955,361.0,AS,IN,IN-JH,Deoghar,yes,VEDO,DGH,,https://www.aai.aero/en/airports/deoghar,https://en.wikipedia.org/wiki/Deoghar_Airport,,,,2398.0,,paved,0.0,0.0,9651951.4399,2807953.0581
30117,342094,IN-0277,medium_airport,Mopa International Airport,15.744257,73.860625,552.0,AS,IN,IN-GA,Mopa,yes,VOGA,GOX,,https://www.newgoaairport.com/,https://en.wikipedia.org/wiki/Mopa_Airport,Manohar,,,11483.0,148.0,ASPH,0.0,0.0,8222127.1647,1775125.1326
30121,32433,IN-TEI,small_airport,Tezu Airport,27.9412002563,96.1343994141,800.0,AS,IN,IN-AR,Tezu,no,VETJ,TEI,,,https://en.wikipedia.org/wiki/Tezu_Airport,Teju New Airport,,,4500.0,,,0.0,0.0,10701632.3905,3241562.5078
30217,313294,IOK,small_airport,Iokea Airport,-8.401,146.277,39.0,OC,PG,PG-GPK,Iokea,no,,IOK,IOK,,,,,,1780.0,,,0.0,0.0,16283481.1548,-938564.113499999
30295,327608,ISG,medium_airport,New Ishigaki Airport,24.396389,124.245,102.0,AS,JP,JP-47,Ishigaki,yes,ROIG,ISG,,https://www.ishigaki-airport.co.jp/en/,https://en.wikipedia.org/wiki/New_Ishigaki_Airport,,,,6562.0,148.0,CON,1.0,0.0,13830890.1336,2801784.7645
30453,308235,ITK,small_airport,Itokama Airport,-9.201527,148.264261,2563.0,OC,PG,PG-NPP,Itokama,no,AYIK,ITK,ITK,,,,,,2297.0,98.0,Grassed black clay,0.0,0.0,16504702.0374,-1028740.9629
30455,301009,JGD,medium_airport,Jiagedaqi Airport,50.371389,124.1175,1205.0,AS,CN,CN-23,Jiagedaqi,yes,ZYJD,JGD,,,https://en.wikipedia.org/wiki/Jiagedaqi_Airport,"Jagdaqi, Jiagedaqi",,,7546.0,,CON,0.0,0.0,13816696.8985,6510844.0403
30456,301010,JIC,small_airport,Jinchang Jinchuan Airport,38.542222,102.348333,4740.0,AS,CN,CN-62,Jinchang,yes,ZLJC,JIC,,,https://en.wikipedia.org/wiki/Jinchang_Jinchuan_Airport,,,,9843.0,,CON,0.0,0.0,11393364.3131,4656309.3259
30457,300865,JIQ,medium_airport,Qianjiang Wulingshan Airport,29.5133333333,108.831111111,2075.0,AS,CN,CN-50,Qianjiang,yes,ZUQJ,JIQ,,,https://en.wikipedia.org/wiki/Qianjiang_Wulingshan_Airport,Zhoubai,,,7874.0,,,0.0,0.0,12115023.8713,3441145.5216
30458,323221,JJD,medium_airport,Jericoacoara - Comandante Ariston Pessoa Regional Airport,-2.906425,-40.357338,89.0,SA,BR,BR-CE,Cruz,yes,SBJE,JJD,CE0003,https://www-jericoacoara-com.translate.goog/br/lugar/como-chegar/aeroporto-de-jericoacoara?_x_tr_sl=pt&_x_tr_tl=en&_x_tr_hl=en&_,https://en.wikipedia.org/wiki/Jericoacoara_airport,"SSVV, Jericoacoara",,,7218.0,148.0,ASP,0.0,0.0,-4492558.3159,-323680.5964
30459,18253,JLA,small_airport,Quartz Creek Airport,60.484235,-149.722909,450.0,,US,US-AK,Cooper Landing,no,,JLA,JLA,,,,,,2200.0,60.0,GRVL-DIRT-F,0.0,0.0,-16667077.99,8508345.6515
30461,339959,JNZ,medium_airport,Jinzhou Bay Airport,40.936032,121.277114,,AS,CN,CN-21,"Linghai, Jinzhou",yes,ZYJZ,JNZ,,,https://en.wikipedia.org/wiki/Jinzhou_Bay_Airport,,,,8202.0,,,0.0,0.0,13500506.5754,5002910.9721
30462,302154,JOP,small_airport,Josephstaal Airport,-4.74708333333,145.007083333,250.0,OC,PG,PG-MPM,Josephstaal,no,AYJS,JOP,JSL,,,,,,3117.0,,,0.0,0.0,16142114.678,-529048.5211
30484,44362,IN-0012,small_airport,Pakyong Airport,27.2313,88.587196,4590.0,AS,IN,IN-SK,Pakyong,yes,VEPY,PYG,,,https://en.wikipedia.org/wiki/Pakyong_Airport,,,,,,,,,9861481.5495,3152399.4675
30748,354545,IN-0301,medium_airport,Rashtrakavi Kuvempu Airport,13.858024,75.618868,2017.0,AS,IN,IN-KA,Shimoga,no,VOSH,RQY,,https://web.archive.org/web/20240204161112/https://ksiidc.karnataka.gov.in/new-page/ShivamoggaAirport/en,https://en.wikipedia.org/wiki/Shivamogga_Airport,"Sogane, Shivamogga",,,,,,,,8417853.8801,1557933.026
30755,354546,IN-0308,medium_airport,Itanagar Donyi Polo Hollongi Airport,26.96683,93.638792,328.0,AS,IN,IN-AR,Hollongi,no,VEHO,HGI,,,https://en.wikipedia.org/wiki/Itanagar_Airport,,,,,,,,,10423822.6439,3119328.2068
30819,520373,IN-0376,small_airport,Utkela Airport,20.097778,83.183333,685.0,AS,IN,IN-OR,Bhawanipatna,yes,,UKE,,,https://en.wikipedia.org/wiki/Utkela_Airport,,,,,,,,,9259926.272,2284617.6778
30820,31698,IN-JGB,small_airport,Jagdalpur Airport,19.074301,82.036797,1822.0,AS,IN,IN-CT,Jagdalpur,yes,VEJR,JGB,VEJR,,https://en.wikipedia.org/wiki/Jagdalpur_Airport,,,,,,,,,9132294.4684,2163685.6099
30821,42723,IN-NVY,small_airport,Neyveli Airport,11.6129560471,79.527381897,184.0,AS,IN,IN-TN,Neyveli,no,VONV,NVY,,,,,,,,,,,,8852947.6569,1301691.575
30822,32215,IN-RJI,small_airport,Rajouri Airport,33.3778991699219,74.3152008056641,3000.0,AS,IN,IN-JK,Rajouri,no,,RJI,,,,Rajauri,,,,,,,,8272730.3119,3945571.8539
30830,311991,INE,small_airport,Chinde Airport,-18.59,36.4489,22.0,AF,MZ,MZ-Q,Chinde,no,,INE,,,,,,,,,,,,4057472.988,-2106724.0193
30831,313299,IOP,small_airport,Ioma Airport,-8.3614,147.84,95.0,OC,PG,PG-NPP,Ioma,no,,IOP,IOMA,,,,,,,,,,,16457473.5189,-934108.2742
30898,42528,IR-0001,small_airport,Khaneh Airport,36.733341217,45.1500015259,4804.0,AS,IR,IR-04,Khaneh,no,OITH,KHA,,,,,,,,,,,,5026075.1792,4402002.8835
31064,317284,IRU,seaplane_base,Iranamadu Seaplane Base,9.299746,80.448627,102.0,AS,LK,LK-4,Iranamadu,no,,IRU,,,,,,,,,,,,8955500.1927,1039818.7243
31597,316549,IVI,small_airport,Viveros Island Airport,8.4693,-79.0016,100.0,,PA,PA-8,Isla Viveros,no,,IVI,,,,,,,,,,,,-8794417.8839,946250.381200001
31599,319816,JIO,small_airport,Jos Orno Imsula Airport,-8.140402,127.908758,43.0,AS,ID,ID-MA,Tiakur,yes,,JIO,,,https://en.wikipedia.org/wiki/Jos_Orno_Imsula_Airport,"Moa Island, Leti Islands",,,,,,,,14238737.8086,-909249.564199999
31620,43324,JMB,small_airport,Jamba Airport,-14.698193,16.070148,4912.0,AF,AO,AO-HUI,Jamba,no,,JMB,,,,,,,,,,,,1788920.6923,-1654442.3268
35008,18302,K00C,small_airport,Animas Air Park,37.203201,-107.869003,6684.0,,US,US-CO,Durango,no,K00C,AMK,00C,https://www.codot.gov/programs/colorado-airports-map/00C,https://en.wikipedia.org/wiki/Animas_Air_Park,,MISC,122.9,5010.0,50.0,ASPH-G,1.0,0.0,-12007922.4863,4467468.3607
35009,18303,K00F,small_airport,Broadus Airport,45.470462,-105.457145,3280.0,,US,US-MT,Broadus,no,00F,BDX,00F,,https://en.wikipedia.org/wiki/Broadus_Airport,,CTAF,122.9,4400.0,75.0,ASPH-E,1.0,0.0,-11739435.6819,5695892.6916
35026,18321,K05U,small_airport,Eureka Airport,39.6041984558,-116.004997253,5954.0,,US,US-NV,Eureka,no,05U,EUE,05U,,https://en.wikipedia.org/wiki/Eureka_Airport_(Nevada),Booth Bailey Field,CTAF,122.9,7300.0,60.0,ASPH-G,1.0,0.0,-12913617.2237,4808591.0813
35031,18326,K06U,small_airport,Jackpot Airport/Hayden Field,41.9760017395,-114.657997131,5213.0,,US,US-NV,Jackpot,no,06U,KPT,06U,,https://en.wikipedia.org/wiki/Jackpot_Airport,,RENO RDO,122.5,6200.0,60.0,ASPH-E,1.0,0.0,-12763669.856,5157385.2985
35032,20238,K07,small_airport,Rolla Downtown Airport,37.9356994628906,-91.8134994506836,987.0,,US,US-MO,Rolla,no,K07,RLA,K07,,,,KANSAS CITY CNTR,133.4,3028.0,38.0,ASPH-P,1.0,0.0,-10220632.0068,4570346.2815
35056,18351,K0B8,small_airport,Elizabeth Field,41.2513008118,-72.0316009521,9.0,,US,US-NY,Fishers Island,no,0B8,FID,0B8,https://www.dot.ny.gov/divisions/operating/opdm/aviation/repository/air_dir2/Elizabeth-revised.pdf,https://en.wikipedia.org/wiki/Elizabeth_Field,,PROVIDENCE APP/DEP,125.75,1792.0,75.0,ASPH-E,1.0,0.0,-8018521.139,5049479.4384
35074,18371,K0K7,small_airport,Humboldt Municipal Airport,42.734831,-94.245315,1093.0,,US,US-IA,Humboldt,no,K0K7,HUD,0K7,http://www.iowadot.gov/aviation/airports/AirportIntermediate.aspx?FAACode=0K7,https://en.wikipedia.org/wiki/Humboldt_Municipal_Airport_(Iowa),,CTAF/UNICOM,122.8,3417.0,60.0,ASPH-G,1.0,0.0,-10491340.4755,5271697.1231
35095,18393,K0S9,small_airport,Jefferson County International Airport,48.0537986755,-122.810997009,108.0,,US,US-WA,Port Townsend,no,K0S9,TWD,0S9,http://www.portofpt.com/airport.htm,https://en.wikipedia.org/wiki/Jefferson_County_International_Airport,,Phone: 360-379-1199,119.025,3000.0,75.0,ASPH-G,1.0,0.0,-13671257.6509,6115809.6888
35099,18397,K0V7,small_airport,Kayenta Airport,36.716444,-110.228444,5688.0,,US,US-AZ,Kayenta,no,,MVM,0V7,,https://en.wikipedia.org/wiki/Kayenta_Airport,,CTAF,122.9,7140.0,75.0,ASPH-P,1.0,0.0,-12270574.257,4399656.0934
35149,18451,K1B1,small_airport,Columbia County Airport,42.2913017273,-73.7102966309,198.0,,US,US-NY,Hudson,no,1B1,HCC,1B1,,https://en.wikipedia.org/wiki/Columbia_County_Airport,,ALBANY APP/DEP,125.0,5350.0,100.0,ASPH-G,1.0,0.0,-8205392.6872,5204715.4027
35160,18462,K1F0,small_airport,Ardmore Downtown Executive Airport,34.1469993591,-97.1227035522,844.0,,US,US-OK,Ardmore,no,,AHD,1F0,,https://en.wikipedia.org/wiki/Ardmore_Downtown_Executive_Airport,,AWOS 3,118.15,5000.0,75.0,ASPH-G,1.0,0.0,-10811649.9039,4048557.569
35166,18468,K1G4,small_airport,Grand Canyon West Airport,35.985787,-113.817072,4825.0,,US,US-AZ,Peach Springs,no,K1G4,GCW,1G4,,https://en.wikipedia.org/wiki/Grand_Canyon_West_Airport,,CTAF,122.9,5058.0,60.0,ASPH-G,0.0,0.0,-12670058.4986,4298665.8614
35194,18501,K1O2,small_airport,Lampson Field,38.9906005859,-122.901000977,1379.0,,US,US-CA,Lakeport,no,1O2,CKE,1O2,http://lakecountyairmen.mymcn.org/index.html,https://en.wikipedia.org/wiki/Lampson_Field,,AWOS 2,118.35,3597.0,60.0,ASPH-G,1.0,0.0,-13681276.8467,4720325.2766
35197,18504,K1O5,small_airport,Montague-Yreka Rohrer Field,41.7304000854,-122.54599762,2527.0,,US,US-CA,Montague,no,K1O5,ROF,1O5,http://www.ci.montague.ca.us/rohrerfield.html,https://en.wikipedia.org/wiki/Montague_Airport_(California),Mount Shasta,RANCHO RDO,122.4,2080.0,100.0,TURF-F,0.0,0.0,-13641758.0538,5120679.8456
35213,18522,K1V6,small_airport,Fremont County Airport,38.428534,-105.106299,5439.0,,US,US-CO,Penrose,no,,CNE,1V6,http://www.fremontco.com/airport/,,,PUEBLO APP/DEP,120.1,5399.0,75.0,ASPH-G,1.0,0.0,-11700379.6838,4640141.4305
35260,18578,K2F0,small_airport,Iraan Municipal Airport,30.9057006836,-101.891998291,2200.0,,US,US-TX,Iraan,no,,IRB,2F0,,,,CTAF,122.9,2755.0,50.0,ASPH-G,0.0,0.0,-11342565.3657,3620508.628
35289,18607,K2O1,small_airport,Gansner Field,39.943902,-120.945,3415.0,,US,US-CA,Quincy,no,,GNF,2O1,,https://en.wikipedia.org/wiki/Gansner_Field,,RANCHO RDO,122.4,4105.0,60.0,ASPH-G,1.0,0.0,-13463535.814,4857793.6166
